"Russia is 'going backwards' in equipment and deploying post WWII-era tanks, according to Western officials","• Jailed Wall Street Journal reporter Evan Gershkovich denied detention appeal in Moscow
• Putin visits Russian troops at military headquarters in Kherson
• Watch moment WSJ journalist appears in Russian court",http://rss.cnn.com/rss/cnn_topstories.rss,"",Others
"Two Russians claiming to be former Wagner commanders admit killing children and civilians in Ukraine","Two Russian men who claim to be former Wagner Group commanders have told a human rights activist that they killed children and civilians during their time in Ukraine.",http://rss.cnn.com/rss/cnn_topstories.rss,"Tue, 18 Apr 2023 19:07:52 GMT",Others
"'My stomach is hurting from laughing': Hear panelist's reaction to DeSantis' threat to Disney","CNN panelists react to Florida Gov. Ron DeSantis floating the idea of building a competing theme park next to Disney World in Orlando.",http://rss.cnn.com/rss/cnn_topstories.rss,"Tue, 18 Apr 2023 03:24:56 GMT",Others
"GOP prepared to block vote to replace Feinstein on Senate Judiciary","Senate Majority Leader Chuck Schumer said on Tuesday that he hopes to replace Democratic Sen. Dianne Feinstein on the Senate Judiciary Committee with Sen. Ben Cardin of Maryland and aims to set up a floor vote on the issue this afternoon, which Republicans are expected to block.",http://rss.cnn.com/rss/cnn_topstories.rss,"Tue, 18 Apr 2023 22:03:13 GMT",Others
"Oklahoma governor calls on officials to resign over recording of racist and threatening remarks","",http://rss.cnn.com/rss/cnn_topstories.rss,"Tue, 18 Apr 2023 17:33:17 GMT",Others
"McCarthy slams Biden in handling of US debt","House Speaker Kevin McCarthy traveled to Wall Street on Monday to deliver a fresh warning that the House GOP majority will refuse to lift a cap on government borrowing unless Biden agrees to spending cuts that would effectively neutralize his domestic agenda.",http://rss.cnn.com/rss/cnn_topstories.rss,"Tue, 18 Apr 2023 22:03:01 GMT",Others
"US warns Russia not to touch American nuclear technology at Ukrainian nuclear plant","The US has sensitive nuclear technology at a nuclear power plant inside Ukraine and is warning Russia not to touch it, according to a letter the US Department of Energy sent to Russia's state-owned nuclear energy firm Rosatom last month.",http://rss.cnn.com/rss/cnn_topstories.rss,"Wed, 19 Apr 2023 08:35:33 GMT",Others
"Repeated gunshots fired on live TV as ex-lawmaker shot by assassins","Atiq Ahmed, a former lawmaker in India's parliament, convicted of kidnapping, was shot dead along with his brother while police were escorting them for a medical check-up in a slaying caught on live television on Saturday. CNN's Vedika Sud reports.",http://rss.cnn.com/rss/cnn_topstories.rss,"Tue, 18 Apr 2023 09:41:42 GMT",Others
"FDA clears the way for additional bivalent boosters for certain vulnerable individuals","The U.S. Food and Drug Administration amended the terms of its emergency use authorizations for the Pfizer and Moderna bivalent vaccines on Tuesday, allowing people ages 65 and older and certain people with weakened immunity to get additional doses before this fall's vaccination campaigns.",http://rss.cnn.com/rss/cnn_topstories.rss,"Tue, 18 Apr 2023 15:09:15 GMT",Others
"Maine authorities detained a person of interest after 4 people were found dead in a home and 3 others shot while driving","Maine authorities have detained a person of interest and continue to investigate after two shooting incidents that appear to be connected left at least four people dead and three others injured, state police said.",http://rss.cnn.com/rss/cnn_topstories.rss,"Wed, 19 Apr 2023 01:49:51 GMT",Others
